Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Crohn's disease	2
IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Pancreatitis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Ulcerative Colitis	2
IL1B	ASSOCIATED_WITH	Alcoholic Liver Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Scleroderma	1
IL1B gene|IL1B	ASSOCIATED_WITH	Chronic Disease	1
IL1B gene|IL1B	PREDISPOSES	Resorption of apex of tooth	3
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Heart failure	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Reactive	1
IL1B	DISRUPTS	Diabetic Retinopathy	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteodystrophy	1
IL1B	ASSOCIATED_WITH	Chronic colitis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Bacteremia	1
IL1B gene|IL1B	PREDISPOSES	Stroke, Acute	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Acute pelvic inflammatory disease NOS	1
IL1B	AUGMENTS	Cardiovascular Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disease	6
IL1B gene|IL1B	ASSOCIATED_WITH	Disease	3
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Malaria, Vivax	1
IL1B gene|IL1B	ASSOCIATED_WITH	Alzheimer's Disease	2
IL1B gene|IL1B	ASSOCIATED_WITH	Systemic onset juvenile chronic arthritis	1
Interleukin-1 beta|IL1B	AFFECTS	Virus Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tendinitis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Autoimmune Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Rheumatoid Arthritis	7
IL1B gene|IL1B	PREDISPOSES	Gastric ulcer	1
Interleukin-1 beta|IL1B	CAUSES	Disease	1
IL1B	ASSOCIATED_WITH	Myocardial Ischemia	1
Interleukin-1 beta|IL1B	AUGMENTS	Acute pulpitis	1
IL1B gene|IL1B	PREDISPOSES	Tuberculosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Alzheimer's Disease	2
