Interleukin-1 beta|IL1B	AFFECTS	Virus Diseases	1	7592
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tendinitis	1	288
IL1B gene|IL1B	ASSOCIATED_WITH	Autoimmune Diseases	1	5351
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Rheumatoid Arthritis	7	9872
IL1B gene|IL1B	PREDISPOSES	Gastric ulcer	1	2213
Interleukin-1 beta|IL1B	CAUSES	Disease	1	67526
IL1B	ASSOCIATED_WITH	Myocardial Ischemia	1	6125
Interleukin-1 beta|IL1B	AUGMENTS	Acute pulpitis	1	31
IL1B gene|IL1B	PREDISPOSES	Tuberculosis	1	5750
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Alzheimer's Disease	2	8193
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Autoimmune Diseases	1	5351
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Local disease	1	626
IL1B	ASSOCIATED_WITH	Infection	1	13571
Interleukin-1 beta|IL1B	AFFECTS	Endometriosis, site unspecified	1	3218
Interleukin-1 beta|IL1B	DISRUPTS	Hyperhomocysteinemia	1	1003
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis, Psoriatic	1	1244
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	HIV Infections	2	6561
IL1B gene|IL1B	ASSOCIATED_WITH	Acute coronary syndrome	1	2469
IL1B	AUGMENTS	Obesity	1	14197
Interleukin-1 beta|IL1B	AFFECTS	destruction; bone	1	929
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Carpal Tunnel Syndrome	1	1100
IL1B gene|IL1B	PREDISPOSES	Gastritis	1	1366
Interleukin-1 beta|IL1B	CAUSES	Rheumatoid Arthritis	1	9872
Interleukin-1 beta|IL1B	PREDISPOSES	Tuberculosis, Pulmonary	1	2274
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Inflammatory Bowel Diseases	3	5009
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Colitis	2	3602
IL1B	CAUSES	Streptococcal arthritis	1	66
IL1B gene|IL1B	ASSOCIATED_WITH	Primary biliary cirrhosis	1	1842
Interleukin-1 beta|IL1B	CAUSES	Inflammatory Bowel Diseases	1	5009
IL1B	NEG_AFFECTS	Diabetic Retinopathy	1	3526
IL1B	AUGMENTS	Rheumatoid Arthritis	1	9872
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontitis	7	2616
IL1B	ASSOCIATED_WITH	Chronic Obstructive Airway Disease	1	5457
Interleukin-1 beta|IL1B	NEG_CAUSES	Inflammatory disorder	1	5240
IL1B	AUGMENTS	Airway Obstruction	1	2073
IL1B gene|IL1B	PREDISPOSES	Inflammatory disorder	1	5240
Interleukin-1 beta|IL1B	CAUSES	Arthritis	3	5923
IL1B	ASSOCIATED_WITH	Mastocytosis, Systemic	1	383
Interleukin-1 beta|IL1B	PREDISPOSES	Chronic prostatitis	1	461
Interleukin-1 beta|IL1B	COMPLICATES	Bacterial Infections	1	3330
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gout	2	1229
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Syndrome	2	22087
IL1B gene|IL1B	ASSOCIATED_WITH	Typhoid Fever	1	757
Interleukin-1 beta|IL1B	PREDISPOSES	Inflammatory disorder	1	5240
Interleukin-1 beta|IL1B	CAUSES	Diabetes Mellitus	1	7030
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Polycystic Ovary Syndrome	1	2433
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	9	5144
IL1B	ASSOCIATED_WITH	Inflammatory disorder	1	5240
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1	548
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Wegener's Granulomatosis	1	911
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Familial amyloid nephropathy with urticaria AND deafness	1	68
IL1B gene|IL1B	ASSOCIATED_WITH	Polycystic Ovary Syndrome	1	2433
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Disorder of tendon	1	62
IL1B gene|IL1B	PREDISPOSES	Chronic Obstructive Airway Disease	1	5457
Interleukin-1 beta|IL1B	AUGMENTS	Cerebral Ischemia	1	3002
IL1B gene|IL1B	CAUSES	Osteoarthritis, Hip	1	460
IL1B	AUGMENTS	Bacterial Infections	1	3330
IL1B gene|IL1B	ASSOCIATED_WITH	Degenerative polyarthritis	1	5144
IL1B gene|IL1B	ASSOCIATED_WITH	Febrile Convulsions	1	548
Interleukin-1 beta|IL1B	AFFECTS	Disease	2	67526
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Asthma	2	11415
Interleukin-1 beta|IL1B	PREDISPOSES	Gastritis, Atrophic	1	802
IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Insulin-Dependent	1	6025
Interleukin-1 beta|IL1B	PREDISPOSES	Peptic Esophagitis	1	747
Interleukin-1 beta|IL1B	AFFECTS	Diabetes	1	13776
IL1B gene|IL1B	AFFECTS	Inflammatory disorder	1	5240
IL1B gene|IL1B	AUGMENTS	Respiration Disorders	1	2689
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Arthritis	1	5923
IL1B gene|IL1B	ASSOCIATED_WITH	Diabetic Nephropathy	1	2807
IL1B	AFFECTS	Pulmonary Cystic Fibrosis	1	359
Interleukin-1 beta|IL1B	CAUSES	Degenerative polyarthritis	1	5144
IL1B gene|IL1B	AFFECTS	Disease	1	67526
